iter	Logloss
0	0.6795881615
1	0.668953431
2	0.657962927
3	0.646115912
4	0.6376596289
5	0.6302953635
6	0.6190367869
7	0.6093942592
8	0.5986261141
9	0.5897453993
10	0.5782296208
11	0.5666265564
12	0.5560798048
13	0.5460938978
14	0.5365633734
15	0.5271004184
16	0.5205828706
17	0.512560978
18	0.5033607255
19	0.4956471835
20	0.4889171129
21	0.4818860776
22	0.4745943343
23	0.4668495858
24	0.4588056209
25	0.4513272202
26	0.4468146658
27	0.4390472591
28	0.4337240507
29	0.4271565087
30	0.4217903978
31	0.4156154872
32	0.4084960562
33	0.4030674855
34	0.396751743
35	0.390643946
36	0.3849614707
37	0.3800225544
38	0.3742705082
39	0.3701500816
40	0.3653491529
41	0.3603753861
42	0.3566596607
43	0.3526879314
44	0.3472729721
45	0.3425513349
46	0.3383422243
47	0.3348487562
48	0.3315972037
49	0.3278999288
50	0.3234358926
51	0.3218176743
52	0.317409216
53	0.3155269742
54	0.3123797906
55	0.3086225657
56	0.3044202289
57	0.3006859593
58	0.2973751223
59	0.2942373803
60	0.290490486
61	0.2878347376
62	0.2845335371
63	0.2812918405
64	0.2788386165
65	0.277745993
66	0.2750400221
67	0.2721451382
68	0.2696382026
69	0.2671396079
70	0.2641329721
71	0.2612858692
72	0.2601137958
73	0.2571668843
74	0.2546615044
75	0.2524407056
76	0.2505122933
77	0.2485511512
78	0.2462157982
79	0.2437858784
80	0.2415992629
81	0.239450089
82	0.2371044572
83	0.2351713989
84	0.2331954702
85	0.2313830931
86	0.2291741665
87	0.2271782272
88	0.2258257391
89	0.2234464209
90	0.2210435102
91	0.2195814195
92	0.2187945855
93	0.2178162298
94	0.2159898508
95	0.2138487364
96	0.2125982126
97	0.2103265773
98	0.2086218405
99	0.2065704335
100	0.205667601
101	0.2043404572
102	0.2040434996
103	0.2024386558
104	0.2010618736
105	0.2000312351
106	0.1986929022
107	0.1969449474
108	0.1954692072
109	0.1937189667
110	0.1921599595
111	0.190715749
112	0.1891911811
113	0.1878642148
114	0.1866772702
115	0.185280283
116	0.1837457622
117	0.1825035486
118	0.1812825832
119	0.1800076387
120	0.1788810424
121	0.177487246
122	0.1764301792
123	0.1761924301
124	0.1749528023
125	0.173826906
126	0.172846262
127	0.1714858625
128	0.1706009591
129	0.1697467332
130	0.1687446018
131	0.167651221
132	0.1671265516
133	0.1660432938
134	0.1645988055
135	0.1638890184
136	0.1629979886
137	0.1620881967
138	0.1610583006
139	0.159922094
140	0.1587977973
141	0.1577109642
142	0.156844013
143	0.1556314181
144	0.1546160682
145	0.1537734858
146	0.1528807467
147	0.1519905713
148	0.1510445371
149	0.1500427361
150	0.1492497778
151	0.1486346764
152	0.1478724888
153	0.1467627484
154	0.1456953448
155	0.1447036195
156	0.1437835399
157	0.1431320738
158	0.1423930165
159	0.1415175288
160	0.1405216128
161	0.1396826389
162	0.1392507385
163	0.1382221337
164	0.1380363964
165	0.1373513944
166	0.1368489858
167	0.1362432459
168	0.1358808436
169	0.1358147552
170	0.1352163371
171	0.1347790978
172	0.1341417389
173	0.1332236911
174	0.1325406432
175	0.1319693953
176	0.1313444926
177	0.1305291621
178	0.1299647366
179	0.12944756
180	0.1284333806
181	0.1276850201
182	0.1272375372
183	0.1266288072
184	0.1258569221
185	0.1252976458
186	0.1247338384
187	0.1239369689
188	0.1239220754
189	0.1234615694
190	0.1226019085
191	0.1218539983
192	0.1211375806
193	0.1206098565
194	0.1198773095
195	0.1193760982
196	0.1189071377
197	0.1183218298
198	0.1178779545
199	0.1177181088
200	0.1171375015
201	0.116591781
202	0.1159024575
203	0.1153721992
204	0.1147810908
205	0.1141018757
206	0.1136618503
207	0.1133564666
208	0.1128642532
209	0.1124442
210	0.112025975
211	0.1115873868
212	0.1112168749
213	0.1107278184
214	0.1101265153
215	0.1094746774
216	0.1089434115
217	0.1085551258
218	0.1081552606
219	0.1077290469
220	0.1072471044
221	0.1069021868
222	0.1066419754
223	0.106153131
224	0.1057683048
225	0.1054097152
226	0.1051938316
227	0.1047617953
228	0.1044098188
229	0.1038393758
230	0.1033131995
231	0.1029198185
232	0.102476273
233	0.1018196806
234	0.1015320181
235	0.1008961441
236	0.1005388678
237	0.1002528363
238	0.09971032779
239	0.09918559319
240	0.09878450866
241	0.09854549154
242	0.09809674722
243	0.09754490812
244	0.09720502326
245	0.09687919542
246	0.09643977513
247	0.09601427738
248	0.09566070055
249	0.09542042932
250	0.09518876572
251	0.09485804898
252	0.09459021364
253	0.09418361333
254	0.09373269933
255	0.09330662687
256	0.09288370431
257	0.0925187012
258	0.09205670837
259	0.09174751582
260	0.09135826971
261	0.09100854834
262	0.09063365762
263	0.09041390323
264	0.0900518441
265	0.08975410936
266	0.08926680431
267	0.08898080026
268	0.08856529701
269	0.08827892182
270	0.08800497845
271	0.08775986631
272	0.08753574819
273	0.08719148475
274	0.0867632885
275	0.08634380769
276	0.08601426153
277	0.08581735206
278	0.08547823083
279	0.08516102837
